regime,seed,event_rank,event_epoch,event_score,event_selfrep_index,event_tape_hex,takeover_epoch
N,71,1,126,63.0,0,6f370f60cf8b755b7bd33ea62ebf4fbc5dbfd4689185f99134688cd43ebf9d5d5d9dbf3ed48c683491f9859168d4bf5dbc4fbf2ea63ed37b5b758bcf600f376f,
N,71,2,614,63.0,0,e75bfd58df627d0a3c232c845ae5b3b25d4204ba2b9696812b66ba2204e742215d2142e70422ba662b8196962bba04425db2b3e55a842c233c0a7d62df58fd5b,
N,73,1,86,62.0,0,5ecb22b35b0c7d876451e4f3f2e72c65423c5d584e704c6370824e1458415d5d4158144e8270634c704e585d3c42652ce7f2f3e45164877d0c5bb322cb5ea2ef,
N,73,2,437,63.0,0,a8d7971b4a5b2e3ecc3059197bec92dd5d5d4e824f8f8f134f8982a64e835d575d5d575d834ea682894f138f8f4f824e5d5ddd92ec7b195930cc3e2e5b4a1b97,
N,79,1,555,63.0,0,4e6822fb64105b9d6ca53f2ee53e8c7bc4b3b3b3b3b3b3b3b3b3b3b3b3b3b3b35db3b3b3b3b3b3b3b3b3b3b3b3b3b3b3c47b8c3ee52e3fa56c9d5b1064fb2268,
N,79,2,965,63.0,0,f65bbb69c23c7da61719c12c20263f035da10d0a238282d623200a130d9aa1c85dc8a19a0d130a2023d68282230a0da15d033f26202cc11917a67d3cc269bb5b,
N,80,1,913,63.0,0,85f95ba1293e25237b4726eb2e9cb3455d5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5d5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5d45b39c2eeb26477b23253e29a15bf9,
N,80,2,1595,62.0,0,ead692073e0be85b173cd07deeed2c40ca393939393939393939393939393939395d5d39393939393939393939393939393939ca402cedee7dd03c175be80b3e,
N,83,1,476,63.0,0,5b5b7d770250be79b7bccd16d5f23c312cc5b05df743fd2851368efd86436a84846a4386fd8e365128fd43f75db0c52c313cf2d516cdbcb779be5002777d5b5b,
N,83,2,1500,63.0,0,929cb1551d5b7d9304c2b2bf3cc02c745dac5b39fed9d97ffef439065baeac8a5d8aacae5b0639f4fe7fd9d9fe395bac5d742cc03cbfb2c204937d5b1d55b19c,
N,85,1,642,63.0,0,6a6ccffc2a8b872a5b2cc81d633c7d6a5d6cdae28e0606888eabe212da0f6c755d5d756c0fda12e2ab8e8806068ee2da6c5d6a7d3c631dc82c5b2a878b2afccf,
N,85,2,744,63.0,0,7c8f3882eecb04f45b2c3435e446697d26128c5e8c4545a38c3c5e5d5d5e3c8ca345458c5e8c12267d6946e435342c5bf404cbee82388f7c962bd972d5779b34,
N,87,1,772,64.0,0,5b7b2e988f8eec6a3e2663ee19ecae7e5dca79c8c1f50ac14fc8fa798eca9a5d9aca8e79fac84fc10af5c1c879ca5d7eaeec19ee63263e6aec8e8f982e7b5b71,
N,87,2,1486,63.0,0,8767a251c3ea935b32e9b82e411e3e7b5d5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5d5d5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5d7b3e1e412eb8e9325b93eac351a2,
N,88,1,350,63.0,0,d4465b7b6a9fdec2b95a755e3b3e602e5cba462898984428ab466aba195c5d5d5c19ba6a46ab284498982846ba5c2e603e3b5e755ab9c2de9f6a7b5b46d484af,
N,88,2,1172,63.0,0,c2d5e9ba1c7e40f75b4c62872ed07b023eacfe3439933439523496fe25ac5d5dac25fe9634523934933934feac3e027bd02e87624c5bf7407e1cbae9d5c20f82,
N,91,1,106,64.0,0,3b5b3ca3a99f2cb2b949167d702a48b05de82ca4d08fa0d031a4032c27e8e45de4e8272c03a431d0a08fd0a42ce85db0482a707d1649b9b22c9fa9a33c5b3bcc,
N,91,2,1207,63.0,0,1c0c5b6792f328b7167b3e212e64a3025d8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a5d8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a5d02a3642e213e7b16b728f392675b0c,
N,99,1,421,63.0,0,bbca5bcd0f2cee3c597dd56c837fd8655d722c512f1b1b752f01514d2c1272455d5d4572122c4d51012f751b1b2f512c725d65d87f836cd57d593cee2c0fcd5b,
N,99,2,772,63.0,0,515b29b99a7dd9ee8ab9776a7f3c612c5da5cd686868686868686868cd49a5825d82a549cd686868686868686868cda55d2c613c7f6a77b98aeed97d9ab9295b,
R,1,1,1777,64.0,0,485ba43cf5b33f091463972c2c7d0a3d5ddadf1e347676ec34a01e1edf40da2cda40df1e1ea034ec7676341edfda5d3d0a7d2c2c976314093fb3f53ca45b4834,
R,1,2,1791,62.0,0,62477d2c2c97635b0b3cf97d71822c5d5bcd60e4ade41660facd465b7f5d5d7f5b46cdfa6016e4ade460cd5b5d2c82717df93c0b5b63972c2c7d47621e030303,
R,6,1,2102,63.0,0,4cd18243e3a5c2ff5b5b5b3c7d5e252c5df02bc6b6b603c67b2b72f0865d86f0722b7bc603b6b6c62bf05d2c255e7d3c5b5b5bffc2a5e34382d14cf725e292b0,
R,6,2,2713,62.0,0,95e7e5343d2c5b575b7d574a2c57f03c38f63d5d957affc1e7d93dd9e7c1ff7a955d3df6383cf0572c4a577d5b575b2c3d34e5e7957affc1e7d9c937e5ad1e59,
R,9,1,1686,63.0,0,3b5b3f3e7b3eb28888883c888851888888ff888888885434cef17f2e534e4d4d5d4d4d4e532e7ff1ce345488888888ff8888885188883c888888b23e7b3e3f5b,
R,9,2,2876,64.0,0,781a5b78785b9393d5e2e25b9341609448602941d5fd1c939f933cfd2c78287dd5937678d55dd5787693d57d28782cfd3c939f931cfdd541296048946041935b,
R,10,1,1043,62.0,0,2c6c72115b3e66d84316c1372e2f387b5db4551d0163632201aa1d8e553bb4f65df6b43b558e1daa01226363011d55b45d7b382f2e37c11643d8663e5b11726c,
R,10,2,2594,63.0,0,5b5bb5b38074383e757b2e010db601de8e01afeb2e0eae1a6a8b3e3d0f3c405d035d403c0f3d3e8b6a1aae0e2eebaf018ede01b60d012e7b753e387480b3b55b,
