regime,seed,event_rank,event_epoch,event_score,takeover_epoch,event_selfrep_index,event_tape_hex,slot_match_count,focal_slot,partner_slot,focal_role,a_first,focal_before_hex,focal_before_strip,partner_hex,partner_strip,focal_after_hex,focal_after_strip,replay_termination_reason,replay_steps,replay_exact,partner_static_proto_loop_count,partner_static_proto_loop_present,first_proto_found,first_proto_step,first_proto_open_side,first_proto_close_side,first_proto_ops,first_proto_dh0,first_proto_dh1,first_proto_span_changed,loops_before_first_proto,nonproto_before_first_proto,dynamic_class
N,23,1,145,63.0,,0,54f03c5b5a7d66989c0f1c2b2c17883c885d89a098cece309894a039897a5f7a8939a0949830cece98a0895d883c88172c2b1c0f9c98667d5a5b3cf054b272a4,1,93835,,p2,0,8810a24c5d6d7a9b89bc39c2a014946e982b30b3ce7e86d52079d423531192a46794c75f344532f5d4bc4fd030a5a7ed2fc5cba48fe3403e1a8ec5365d5a1fd2,]+>],8aa2a4c17224b22154f3f0ae3c295b6f5a280d5e7d63e1bb66554b399806a3639c917d0d0f1e52211cbfb2562b8947ad2cf1ef7917a833e48840aeda3c9a5e9a,"<[}}+,<",54f03c5b5a7d66989c0f1c2b2c17883c885d89a098cece309894a039897a5f7a8939a0949830cece98a0895d883c88172c2b1c0f9c98667d5a5b3cf054b272a4,"<[}+,<]]<,+}[<",step_cap,8192,1,0,0,0,,,,,,,,,,NO_PROTO_FOUND
N,23,2,1491,63.0,,0,dee55b8710763c7dd52cb99c4961fac15d4b0e2d38c6c6c638382d410e0e4bd15dd14b0e0e412d3838c6c6c6382d0e4b5dc1fa61499cb92cd57d3c7610875be5,1,96691,,p2,0,5d86d14b4b620e0e0e8b41412d2d383838a5c6c6c6323131313131313131313131313131313131313131313131313131313131313131313131313131333351fb,]--,de86b047e51192f25b14010887cd9082105271f176b07dff3c8560cf7dfaeb4dd510f8502c77d525b996d3f29ccc118d498557d161f81712fa931461c1e3a171,"[}<},",dee55b8710763c7dd52cb99c4961fac15d4b0e2d38c6c6c638382d410e0e4bd15dd14b0e0e412d3838c6c6c6382d0e4b5dc1fa61499cb92cd57d3c7610875be5,"[<},]--]--],}<[",step_cap,8192,1,0,0,1,65,partner,focal,"}<},",-1,2,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,26,1,255,63.0,,0,4e5734875b7b44322faa3e51bc2e8cb05dd0521dc02a2ae3c0781de65278d03d5d3dd07852e61d78c0e32a2ac01d52d05db08c2ebc513eaa2f32447b5b873457,1,62647,,p2,0,5d3b3d28d0bb78c052ace6421d3178d9c0e4e3502ab6377e674cedecf1afb6d2b25e4144e5fa1bc802e8b279607c071e968c14544153c3e419addf9f3f11cc91,],4eb3df31571843fa34ea5ec68733de565b55f8377ba90f524473e536328624132f3b08ceaa3ef7953e140db051d570fabc22161e2eaa25468c368691b01cc9e2,[{>>.,4e5734875b7b44322faa3e51bc2e8cb05dd0521dc02a2ae3c0781de65278d03d5d3dd07852e61d78c0e32a2ac01d52d05db08c2ebc513eaa2f32447b5b873457,[{>.]]].>{[,step_cap,8192,1,0,0,1,65,partner,focal,{>>.,2,-1,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,26,2,369,63.0,,0,634bb5cabdc11e5b2e58e1ad4ba8908c3ef9e0f2c3bdbd7cc3bff26ae07bf95d5df97be06af2bfc37cbdbdc3f2e0f93e8c90a84bade1582e5b1ec1bdcab54b63,1,106417,,p2,0,3e3e5dc5f9b37b12e0f46a37f288bfe2c3937c9dbd9786f618ffcce75086f82d0ec0a423aa824288bda9a986e10aa466a184566007c56354a62cd550150f100e,">>]{-,",74e2636b4b237161b5786277ca332378bde49916c1fb19991e0eafde5bc6e88c2ec1f91a58a6838ae17b0c45adcdd4c44b34293aa8338ea690682a228cce64cc,[.{,634bb5cabdc11e5b2e58e1ad4ba8908c3ef9e0f2c3bdbd7cc3bff26ae07bf95d5df97be06af2bfc37cbdbdc3f2e0f93e8c90a84bade1582e5b1ec1bdcab54b63,[.>{]]{>.[,step_cap,8192,1,0,0,1,67,partner,focal,.{>>,2,-1,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,28,1,282,62.0,,0,6a033eec7a96e643015b0d3bb7a77d3c2cc5d84c65ffff0265884c38d85dd8384c886502ffff654cd8c52c3c7da7b73b0d5b0143e6967aec3e036a9f1ffd6116,1,46167,,p2,0,2cf65529c5065d20d88338644ca788fd656d0298ff7d6ac535117ada28b53d406b80b49d38aed179ebd1395322e2f6b4babff5aae0fd646819fcda8eb8279850,",]}",2ad316c7610ffdf91fae9feb6ae603313e54ecdb7a3c969fe6e2667843e9b13201f680d55b551b350d512a683bfcd2d1b7d4ca96a7784de27db690c73c7db519,><[}<},6a033eec7a96e643015b0d3bb7a77d3c2cc5d84c65ffff0265884c38d85dd8384c886502ffff654cd8c52c3c7da7b73b0d5b0143e6967aec3e036a9f1ffd6116,">[}<,],<}[>",step_cap,8192,1,0,0,1,71,partner,focal,"}<},",-1,2,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,28,2,935,63.0,,0,755b04e83c7d434a738192c76e2c4f01fa5db365324545d632866519b30b5d1f1f5d0bb319658632d645453265b35dfa014f2c6ec79281734a437d3ce8045b75,1,32040,,p2,0,fa371f705d380b90b3dc195c65cf86d932a0d64b45ec0542cbac9125967c8d8bbb7b311dec458a27bd0b08831cc73b11266c06a4e10857c9b3ea4edcc0787698,]{,e3ec751f5b46aa4904ebe8f87db53c33b57e0b6d7de78e70433bf7934a9fed59734f830a81a9d84592a5ff4bc76e78be6e8eb6e52c82ea6a4f901b1b01f226a0,"[}<},",755b04e83c7d434a738192c76e2c4f01fa5db365324545d632866519b30b5d1f1f5d0bb319658632d645453265b35dfa014f2c6ec79281734a437d3ce8045b75,"[<},]]]],}<[",step_cap,8192,1,0,0,1,69,partner,focal,"}<},",-1,2,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,30,1,433,62.0,,0,626237609d5f5b22213e922e3afc92117b6e4735964b609a4b5996323591471a6e5d6e1a4791353296594b9a604b9635476e7b1192fc3a2e923e21225b5f9d60,1,85819,,p2,0,5d4d6ec81ad647d0918b357e32cb9616590b4b079a60601b3a7cbeb90b72c211b0f6905c95152b9deb30140e0e9eb8a0813e666aadc2186d6501f47b772ae173,]+>{,e29862959f0e37802ab16078c4759d1bfb2d5f481faa5bec426e223e9d9a21cad9863e4fcdfd9292f8bd2eb35a963a76a7f6fc8e255792f34535116634fc7b87,-[>>.{,626237609d5f5b22213e922e3afc92117b6e4735964b609a4b5996323591471a6e5d6e1a4791353296594b9a604b9635476e7b1192fc3a2e923e21225b5f9d60,[>.{]{.>[,step_cap,8192,1,0,0,1,65,partner,focal,>>.{,2,-1,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,30,2,1517,62.0,,0,dc76935b5c28d1ba7db1242c3ca242a55d2445f460c5c573606ff417452b24465d46242b4517f46f6073c5c560f445245da542a23c2c24b17dbad1285c5b9376,1,130322,,p2,0,5d5d464e24872b4f4511179ff48b6ff8608973acc51e7176cde1d6d58b7d1ebecd590de751d101b53aa91657e142b6a3f9aa66e0aa75121e2fef8bd56a0e540d,]]+},dc1d46e376023cc793d7b9495bcb91b05c7dc1d628df0868d1fec02fbac222217d243266b15cde4324f2bd812cb94fa23cf5f8f0a27cb44342734e0ca50ab6c1,"<[}},<",dc76935b5c28d1ba7db1242c3ca242a55d2445f460c5c573606ff417452b24465d46242b4517f46f6073c5c560f445245da542a23c2c24b17dbad1285c5b9376,"[},<]+]+]<,}[",step_cap,8192,1,0,0,1,65,partner,focal,"}},<",-1,2,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,32,1,710,63.0,,0,2f04e05b2e59788b345e3e4dd7b67be55d83878b8f9393918f8d8b89878583815d5d81838587898b8d8f9193938f8b87835de57bb6d74d3e5e348b78592e5be0,1,4511,,p2,0,5d5e8182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbd94,],2f70c7ee04a0a5c0e06585fe5b86f4b32e9817415920d24378fc4ac18b3eafb8341a070e5e5ffa163e7471ac4da0f350d7beffecb6ab27057bb34ccae5a08bc9,[.>>{,2f04e05b2e59788b345e3e4dd7b67be55d83878b8f9393918f8d8b89878583815d5d81838587898b8d8f9193938f8b87835de57bb6d74d3e5e348b78592e5be0,[.>{]]]]{>.[,step_cap,8192,1,0,0,1,65,partner,focal,.>>{,2,-1,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,32,2,787,63.0,,0,5c5bda3e2fb1e5347b2e1d368192fb097ce93ace530fc5b2adcb5d0a866ac98787c96a860a5dcbadb2c50f53ce3ae97c09fb9281361d2e7b34e5b12f3eda5b5c,1,36086,,p2,0,3c5ddb3f30b2e6357c2f1e378293fc0a7dea3bcf5410c6b3aecc5e0b876bca886c2df0c2c6f06329dc449cb4b87f2514d492726f012e70bbe2b555a76b60bf4c,<]}-.,5bbff2fc3c3ce0758412709fd1c60b7fd863ed5f04bb978f0fe7916e2e81e3b1c3367a87aa29635b6c974d25c3cff08947362da021d0ba1a053354e68e62119c,[<<.[-,5c5bda3e2fb1e5347b2e1d368192fb097ce93ace530fc5b2adcb5d0a866ac98787c96a860a5dcbadb2c50f53ce3ae97c09fb9281361d2e7b34e5b12f3eda5b5c,[>{.]].{>[,step_cap,8192,1,0,0,0,,,,,,,,,,NO_PROTO_FOUND
