fixed_id,fixed_label,bracket_position,inert_byte,fixed_hex,fixed_strip,source_event_id,source_regime,source_seed,source_discovery_epoch,partner_group,source_focal_slot,source_partner_slot,concat_order
24,N-derived_79_1,0,0,5c5db3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b32d7c,]-,79_1,N,79,555,N-derived,3966,,partner+focal
25,N-derived_79_2,0,0,5dd5c862a1639a740d5213330a4e206b2347d6a18285251de0d64081cc5f016deb37457a50d4ff3278f918daeb184b2b3a6a2767486e9f3bf07cb0656a812525,]+,79_2,N,79,965,N-derived,118724,,partner+focal
26,N-derived_80_1,0,0,5d5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5badcf,][[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[,80_1,N,80,913,N-derived,78991,,partner+focal
27,N-derived_80_2,0,0,5d8f391839a8399939e73907394e3967390c39b939df393c39833912395039c53911393b396a39e939ac394d392d392639aa398c398a39cc398639c2395eb9b8,]<-,80_2,N,80,1595,N-derived,15937,,partner+focal
28,N-derived_83_2,0,0,5db48a85ace0ae9b5b12066a396bf440fe2f7fe6d9a10d6d61fe9e4a7ba316dc4878d162f998db1309ac825162e3dc0711fb707c74f9ba56a261de99ff152524,][{,83_2,N,83,1500,N-derived,80907,,partner+focal
29,N-derived_85_1,0,0,5dbf75f96cf00f88da8c1283e26aabcc8e57884d063092b9d4637e4e43b97986546b546020e81794b0c0e2afe9e2ac0ac14b8647b3d9b62a585ea1c5f005f7aa,],85_1,N,85,642,N-derived,79305,,partner+focal
30,N-derived_87_1,0,0,5e5d5f9a74ca768ec67950fa71c8dc4fdfc1840ac7f50139def2f54a673620848484848484848484848484848484848484848484848484848484848484853ea1,]>,87_1,N,87,772,N-derived,40318,,partner+focal
31,N-derived_87_2,0,0,5d5c5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5c,][[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[,87_2,N,87,1486,N-derived,123115,,partner+focal
32,N-derived_91_1,0,0,595d40e47fe85d27282c6003a8a495319ed008a04e8ffa2fe5def5306731057a7b3b8248209f005c4393a85a0d56b6abf96c8ce79b45cf81c9acea097351033b,"]],{0",91_1,N,91,106,N-derived,59959,,partner+focal
33,N-derived_91_2,0,0,5d8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8ab6,],91_2,N,91,1207,N-derived,104100,,partner+focal
34,N-derived_99_1,0,0,5d6245b372c112182cb64dd5516701442ff075eb1b562b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b1497,"],++++++++++++++++++++++++++++++++++++++++",99_1,N,99,421,N-derived,11363,,partner+focal
35,N-derived_99_2,0,0,5d5e8248a5874942cdff68686868686868686868686868686868686868686868686868686868686868686868686868686868686868686868686868686868684e,],99_2,N,99,772,N-derived,120786,,partner+focal
36,R-derived_1_1,0,0,5d2b2c40da6940dfdf501edd1e14a09f34a5eca276873b650f997c2ea6d5853b4de39bca3b449b8575b1ca203e52a11b44f5ffa581a4db36908a8de9ea3d3a2a,"]+,.>",1_1,R,1,1777,R-derived,105741,49572,partner+focal
37,R-derived_1_2,0,0,155d507fd65b5b4631cd5bfac660d616bee461ad5b1dadba5b5b1762e35bf8d64992354dbc5e975b5d27995b5a07ab2c5b6cab905e3582e287a724ababab5c5c,"][[[[[[[[][,[",1_2,R,1,1791,R-derived,56986,48241,partner+focal
38,R-derived_6_1,0,0,689d685d688668f06872682b687b68c6680368b6681f68ca685c681968fc682068a668aa68c268cd682c68d068cf687368c2681e689c685b2f979700303db0b0,"]+{,[0",6_1,R,6,2102,R-derived,122611,15983,partner+focal
39,R-derived_9_1,0,0,5dabffd968d369f2106a9eb09c3a8ba697979797369797979797979797979797979797979797979797979797971f209797978c978c8c97971e97977bf92c393c,"]{,<",9_1,R,9,1686,R-derived,81533,71997,partner+focal
40,R-derived_10_1,0,0,5db4f60eb4063b9755cc8e901d10aaa3018c220c63755a3d5281bad6605c1d866d60b04dd8442d0735bd0bd4c34c583bbc520c0c7b8082890ce9b77e3fe839b7,]-{,10_1,R,10,1043,R-derived,98661,84733,partner+focal
41,R-derived_10_2,0,0,5d2103522d2d2dfcf32d59fb2d2d2df9cf2d2d2d2d2d2d012d2d2d212d2b2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2df42d33bbea3a2d3aea9dea5abf31922c0992,"]-----------------+------------------,",10_2,R,10,2594,R-derived,110923,120120,partner+focal
42,R-derived_15_1,0,0,5d4f0cdaad70df77572ba5e1c1b910367a8052a70bba39415f684b020dc7fd4b52cc0ecabf8ea232f5c56746d43de2e7f9846c65f5f246b98ee3669d3c3c014b,]+<<,15_1,R,15,1650,R-derived,69594,37861,partner+focal
43,R-derived_15_2,0,0,105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d105d5d10905d909696b456730c5673a1b43a28282828,]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],15_2,R,15,2511,R-derived,128508,29103,partner+focal
44,R-derived_21_2,0,0,5d8f65eca796aa4eea410019af62482d22ea8c2094da624f174d802cfad35b43fff0e779b2be5b012815d50eeeaae0689926a985a03827d77adb28b96db7fc5a,"]0-,[[",21_2,R,21,398,R-derived,2038,102769,partner+focal
45,R-derived_37_1,0,0,268c5d26f14d3b5b904717bc43bacc131f3133a33a333a73d36ba3d56bd35b5c5bef3091ea6b1e686b9f7d6bc8be37f8507ac3f56bef7b6b3437ff3c42a7d96e,][[[}{<,37_1,R,37,2683,R-derived,61709,3206,partner+focal
46,R-derived_37_2,0,0,5d75ea923d3d913b78d33d3d4d80fa203d3d80610fa13d3d5a2e2bb63d3d177df8963d3d0c532f933d3d549333e23d3d976738d93d3d3c1d3c033d3d0a3c9dd1,].+}<<<,37_2,R,37,2769,R-derived,125319,90171,partner+focal
47,R-derived_49_1,0,0,618c5d01f4592ea68e97a1ab8fb0d9ad779042de5444f82da9e8f3aff01b99f47a1274ff54670dcb4ea473cb7c2b15c0c111899b61fed38326e32d5e5bff093b,].-+-[,49_1,R,49,467,R-derived,53653,23902,partner+focal
48,R-derived_56_1,0,0,265daa26815a51d38a26515a268a40266a7b3f812826673c269b3f262626a6585126aa81518a5126406a3f2867263f26a651aa5151403f673f504d5050bc5e50,]{<,56_1,R,56,3025,R-derived,127620,106998,partner+focal
49,R-derived_56_2,0,0,5d285b5b5b3c3b5b5b5b3b3c5b5b5b963b5b5b5b3c755b5b5b753c5b5b5b3c755b5b5b753c5b5b5b3c755b5b5b75975b5b5b3df0f05b5b292176a43c2c7f2b7b,"][[[<[[[<[[[[[[<[[[<[[[<[[[<[[[<[[[[[[[[<,+{",56_2,R,56,3067,R-derived,24685,72460,partner+focal
50,R-derived_57_1,0,0,5df818dc3512f2ea3c3d3dd94b3d3d493d3d2c3d3d3c3d3d3d3d3d023d3c3d3d3d3a3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3a9f544954d849ba,"]<,<<",57_1,R,57,1858,R-derived,46692,89902,partner+focal
51,R-derived_57_2,0,0,5d13fefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefed6feffd6fe57b719b28dd9d68d3d3d,],57_2,R,57,2391,R-derived,3746,92120,partner+focal
52,R-derived_58_1,0,0,5d5c414146c72c50e71c38d3122b693c3040a63f40943d8c0ea6d4561bbc340c38d03e809ccc3d9bdc9611f2c97a26bcc896e3633cdfdc3e72503f3cdc3c3c00,"],+<><><<<0",58_1,R,58,1934,R-derived,21701,121738,partner+focal
53,R-derived_58_2,0,0,5d2c76103cb22525252525b12c2c2576257525256275252425253a25252525252525252525910733fd813e284dc4645c4141265b2ca848302c8d3d3d97153c2c,"],<,,>[,,<,",58_2,R,58,2155,R-derived,82390,79422,partner+focal
54,R-derived_60_1,0,0,5d2c2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2d2c2db32d2c2d2c2d2c2d2c81bf3b3b573c3c,"],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,<<",60_1,R,60,2078,R-derived,112590,46932,partner+focal
55,R-derived_60_2,0,0,5da874375c1b2c3767c4cdf2318ae95b9a2ec46337e433b1684a01c64abd58e2bd3c53efd8a9d33e4107f076c5b7f02b1b363d09093c3c3d3d09db5cdb9d3cdb,"],[.<>+<<<",60_2,R,60,2249,R-derived,120865,44523,partner+focal
56,R-derived_61_1,0,0,5da8d8a7499c461cc7d03a3dcb6a6e7525fcf0b8213350a79f12aed7516d9f1a989b2f2d3ba0059d129b47ed53cf927f2fd07f9927a236ac52a36379a93a3c3c,]-<<,61_1,R,61,425,R-derived,11837,39999,partner+focal
57,R-derived_61_2,0,0,5dfefef20aa0a826ba68ad474db01130c012453c5ebbe007daf1260cfc7d3845358da82c142c515bff39ee268006c21e23a304f026a3441ed1066b2657f16af6,"]<},,[",61_2,R,61,649,R-derived,32343,115783,partner+focal
58,R-derived_64_1,0,0,5d5cb052e94d62a1a0be1d6d1bb2359dcef97928fc919cb458d805741b09bba987a3a297e71ca06ff2267183720417ca8636acd0efdeb66ffa87d92e6a003b3b,].0,64_1,R,64,695,R-derived,54058,79994,partner+focal
